"filename", "language", "Markdown", "HTML", "YAML", "Swift", "JSON", "Dart", "C++", "XML", "CMake", "Properties", "comment", "blank", "total"
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\linux\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 10, 89
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 4, 5, 16
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5, 6, 16
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 6, 25
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\linux\runner\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 6, 27
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\linux\runner\main.cc", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\linux\runner\my_application.cc", "C++", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 21, 27, 131
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\linux\runner\my_application.h", "C++", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7, 5, 19
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 4, 15
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\macos\Runner.xcodeproj\xcshareddata\xcschemes\Runner.xcscheme.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 1, 100
